Year,Hour,Wind Speed  ,
2016,5,2.69,2.5
2016,6,2.47,2.5
2016,7,4.52,4.5
2016,8,5.86,5.5
2016,9,5.38,5.5
2016,10,2.55,2.5
2016,11,0.6,0.5
2016,12,1.77,1.5
2016,13,6.71,6.5
2016,14,8.7,8.5
2016,15,8.6,8.5
2016,16,8.21,8.5
2016,17,7.32,7.5
2016,18,6.63,6.5
2016,19,6.7,6.5
2016,20,6.21,6.5
2016,21,5.42,5.5
2016,22,4.59,4.5
2016,23,4.7,4.5
2016,0,6.9,6.5
2016,1,6.91,6.5
2016,2,6.99,6.5
2016,3,5.38,5.5
2016,4,5.1,5.5
2016,5,6.39,6.5
2016,6,6.74,6.5
2016,7,5.22,5.5
2016,8,4.3,4.5
2016,9,3.56,3.5
2016,10,4.41,4.5
2016,11,4.69,4.5
2016,12,4.75,4.5
2016,13,6.87,6.5
2016,14,7.05,7.5
2016,15,7.22,7.5
2016,16,6.78,6.5
2016,17,6.42,6.5
2016,18,6.07,6.5
2016,19,5.62,5.5
2016,20,5.05,5.5
2016,21,4.47,4.5
2016,22,3.71,3.5
2016,23,2.51,2.5
2016,0,1.62,1.5
2016,1,1.48,1.5
2016,2,1.25,1.5
2016,3,0.71,0.5
2016,4,1.5,1.5
2016,5,1.77,1.5
2016,6,1.81,1.5
2016,7,4.99,4.5
2016,8,4.16,4.5
2016,9,2.42,2.5
2016,10,2.31,2.5
2016,11,3.72,3.5
2016,12,4.69,4.5
2016,13,5.5,5.5
2016,14,4.92,4.5
2016,15,4.61,4.5
2016,16,4.64,4.5
2016,17,4.75,4.5
2016,18,5.28,5.5
2016,19,6.52,6.5
2016,20,6.16,6.5
2016,21,6.19,6.5
2016,22,6.26,6.5
2016,23,5.86,5.5
2016,0,4.64,4.5
2016,1,4.1,4.5
2016,2,4.3,4.5
2016,3,4.1,4.5
2016,4,4.02,4.5
2016,5,4.38,4.5
2016,6,5.64,5.5
2016,7,5.32,5.5
2016,8,4.96,4.5
2016,9,3.36,3.5
2016,10,2.5,2.5
2016,11,2.38,2.5
2016,12,1.51,1.5
2016,13,1.08,1.5
2016,14,0.89,0.5
2016,15,1.03,1.5
2016,16,1.27,1.5
2016,17,2.16,2.5
2016,18,4.02,4.5
2016,19,5.47,5.5
2016,20,6.44,6.5
2016,21,6.16,6.5
2016,22,6.16,6.5
2016,23,6.38,6.5
2016,0,5.8,5.5
2016,1,6.19,6.5
2016,2,7.16,7.5
2016,3,7.52,7.5
2016,4,7.18,7.5
2016,5,6.32,6.5
2016,6,5.61,5.5
2016,7,5.85,5.5
2016,8,5.82,5.5
2016,9,5.09,5.5
2016,10,6.04,6.5
2016,11,4.62,4.5
2016,12,5.26,5.5
2016,13,2.64,2.5
2016,14,1.73,1.5
2016,15,4.14,4.5
2016,16,6.1,6.5
2016,17,6.77,6.5
2016,18,6.31,6.5
2016,19,6.08,6.5
2016,20,7.47,7.5
2016,21,10.57,10.5
2016,22,13.05,13.5
2016,23,13.78,13.5
2016,0,13.61,13.5
2016,1,10.83,10.5
2016,2,6.35,6.5
2016,3,9.59,9.5
2016,4,11.22,11.5
2016,5,9.61,9.5
2016,6,8.2,8.5
2016,7,8.12,8.5
2016,8,6.82,6.5
2016,9,5.22,5.5
2016,10,4.18,4.5
2016,11,3,3.5
2016,12,1.9,1.5
2016,13,1.27,1.5
2016,14,1.41,1.5
2016,15,2,2.5
2016,16,2.75,2.5
2016,17,2.97,2.5
2016,18,3.57,3.5
2016,19,4.52,4.5
2016,20,4.33,4.5
2016,21,5.3,5.5
2016,22,4.64,4.5
2016,23,4.55,4.5
2016,0,6.96,6.5
2016,1,7.62,7.5
2016,2,6.42,6.5
2016,3,5.74,5.5
2016,4,5.99,5.5
2016,5,6.15,6.5
2016,6,6.95,6.5
2016,7,7.62,7.5
2016,8,7.79,7.5
2016,9,7.2,7.5
2016,10,6.72,6.5
2016,11,0.78,0.5
2016,12,4.1,4.5
2016,13,5.77,5.5
2016,14,1.44,1.5
2016,15,4.28,4.5
2016,16,5.32,5.5
2016,17,4.38,4.5
2016,18,4.8,4.5
2016,19,5.52,5.5
2016,20,5.15,5.5
2016,21,4.98,4.5
2016,22,4.4,4.5
2016,23,3.72,3.5
2016,0,3.63,3.5
2016,1,3.44,3.5
2016,2,2.72,2.5
2016,3,1.91,1.5
2016,4,1.84,1.5
2016,5,2.44,2.5
2016,6,2,2.5
2016,7,0.9,0.5
2016,8,0.71,0.5
2016,9,1.26,1.5
2016,10,2.93,2.5
2016,11,5.2,5.5
2016,12,5.38,5.5
2016,13,3.22,3.5
2016,14,2.7,2.5
2016,15,2.55,2.5
2016,16,3.5,3.5
2016,17,4.92,4.5
2016,18,7.84,7.5
2016,19,8,8.5
2016,20,7.51,7.5
2016,21,6.91,6.5
2016,22,6.66,6.5
2016,23,6.05,6.5
2016,0,4.6,4.5
2016,1,4,4.5
2016,2,3.6,3.5
2016,3,2.31,2.5
2016,4,2.05,2.5
2016,5,2.69,2.5
2016,6,3.26,3.5
2016,7,3.64,3.5
2016,8,3.76,3.5
2016,9,3.58,3.5
2016,10,3.1,3.5
2016,11,1.6,1.5
2016,12,0.64,0.5
2016,13,0.51,0.5
2016,14,0.78,0.5
2016,15,1.42,1.5
2016,16,2.51,2.5
2016,17,2.69,2.5
2016,18,3.18,3.5
2016,19,3.2,3.5
2016,20,2.8,2.5
2016,21,2.11,2.5
2016,22,1.08,1.5
2016,23,1.2,1.5
2016,0,1.51,1.5
2016,1,1.2,1.5
2016,2,1.22,1.5
2016,3,1.22,1.5
2016,4,1.66,1.5
2016,5,1.56,1.5
2016,6,1.58,1.5
2016,7,1.7,1.5
2016,8,1.72,1.5
2016,9,1.14,1.5
2016,10,2.2,2.5
2016,11,2.62,2.5
2016,12,3.42,3.5
2016,13,2.72,2.5
2016,14,3.24,3.5
2016,15,3.85,3.5
2016,16,4.53,4.5
2016,17,4.71,4.5
2016,18,3.57,3.5
2016,19,4.36,4.5
2016,20,6.52,6.5
2016,21,4.75,4.5
2016,22,3.42,3.5
2016,23,2.4,2.5
2016,0,2.55,2.5
2016,1,2.18,2.5
2016,2,1.48,1.5
2016,3,0.45,0.5
2016,4,1.58,1.5
2016,5,0.45,0.5
2016,6,0.85,0.5
2016,7,1.81,1.5
2016,8,1.75,1.5
2016,9,1.02,1.5
2016,10,3.18,3.5
2016,11,5.98,5.5
2016,12,7.24,7.5
2016,13,8.54,8.5
2016,14,8.81,8.5
2016,15,8.78,8.5
2016,16,8.87,8.5
2016,17,8.81,8.5
2016,18,8.07,8.5
2016,19,7.16,7.5
2016,20,6.64,6.5
2016,21,7.13,7.5
2016,22,6.8,6.5
2016,23,6.3,6.5
